,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
72,22101008,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,F,,34:01,9.0,17.0,0.529,1.0,4.0,0.25,12.0,18.0,0.667,1.0,7.0,8.0,3.0,0.0,1.0,1.0,2.0,31.0,-26.0
555,22100984,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,F,,37:03,15.0,22.0,0.682,1.0,5.0,0.2,12.0,17.0,0.706,3.0,9.0,12.0,5.0,1.0,0.0,2.0,4.0,43.0,3.0
859,22100979,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,F,,27:46,13.0,19.0,0.684,4.0,4.0,1.0,9.0,13.0,0.692,1.0,6.0,7.0,7.0,3.0,1.0,1.0,3.0,39.0,18.0
1144,22100961,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,F,,31:13,8.0,13.0,0.615,0.0,1.0,0.0,3.0,6.0,0.5,3.0,10.0,13.0,6.0,1.0,3.0,3.0,6.0,19.0,-8.0
1556,22100949,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,F,,38:48,12.0,22.0,0.545,0.0,2.0,0.0,10.0,19.0,0.526,4.0,12.0,16.0,5.0,2.0,1.0,4.0,4.0,34.0,15.0
1978,22100936,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,F,,34:24,9.0,20.0,0.45,1.0,4.0,0.25,9.0,11.0,0.818,4.0,13.0,17.0,5.0,2.0,1.0,4.0,4.0,28.0,7.0
2357,22100924,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,F,,28:09,6.0,10.0,0.6,0.0,2.0,0.0,14.0,14.0,1.0,3.0,13.0,16.0,6.0,2.0,4.0,3.0,3.0,26.0,25.0
2734,22100910,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,F,,36:13,8.0,20.0,0.4,1.0,6.0,0.167,12.0,16.0,0.75,0.0,14.0,14.0,6.0,1.0,0.0,4.0,2.0,29.0,-8.0
3259,22100887,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,F,,39:07,13.0,23.0,0.565,2.0,4.0,0.5,4.0,5.0,0.8,4.0,7.0,11.0,9.0,3.0,1.0,3.0,4.0,32.0,-9.0
3653,22100870,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,F,,36:07,17.0,21.0,0.81,2.0,3.0,0.667,14.0,18.0,0.778,4.0,10.0,14.0,4.0,0.0,0.0,3.0,3.0,50.0,7.0
