,GAME_DATE_EST,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,TEAM_ID,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,MIN,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PTS,PLUS_MINUS,colscatt
1,2022-03-09,22100984,1610612749,1610612737,2021,124.0,0.5,0.783,0.343,24.0,50.0,115.0,0.5,0.818,0.289,26.0,44.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,37.0,22.0,0.682,1.0,5.0,0.2,12.0,17.0,0.706,3.0,9.0,12.0,5.0,1.0,0.0,2.0,43.0,3.0,0.0
3,2022-03-06,22100961,1610612749,1610612756,2021,132.0,0.54,0.793,0.469,31.0,48.0,122.0,0.538,0.727,0.452,33.0,27.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,31.0,13.0,0.615,0.0,1.0,0.0,3.0,6.0,0.5,3.0,10.0,13.0,6.0,1.0,3.0,3.0,19.0,-8.0,0.05
5,2022-03-02,22100936,1610612749,1610612748,2021,120.0,0.451,0.889,0.389,22.0,52.0,119.0,0.454,0.833,0.477,28.0,48.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,34.0,20.0,0.45,1.0,4.0,0.25,9.0,11.0,0.818,4.0,13.0,17.0,5.0,2.0,1.0,4.0,28.0,7.0,0.1
6,2022-02-28,22100924,1610612749,1610612766,2021,130.0,0.44,0.865,0.4,25.0,62.0,106.0,0.387,0.625,0.359,22.0,40.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,28.0,10.0,0.6,0.0,2.0,0.0,14.0,14.0,1.0,3.0,13.0,16.0,6.0,2.0,4.0,3.0,26.0,25.0,0.15000000000000002
7,2022-02-26,22100910,1610612749,1610612751,2021,123.0,0.526,0.658,0.421,24.0,43.0,126.0,0.478,0.758,0.382,24.0,40.0,0,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,36.0,20.0,0.4,1.0,6.0,0.167,12.0,16.0,0.75,0.0,14.0,14.0,6.0,1.0,0.0,4.0,29.0,-8.0,0.2
8,2022-02-17,22100887,1610612749,1610612755,2021,120.0,0.442,0.786,0.318,20.0,44.0,123.0,0.5,0.852,0.353,21.0,46.0,0,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,39.0,23.0,0.565,2.0,4.0,0.5,4.0,5.0,0.8,4.0,7.0,11.0,9.0,3.0,1.0,3.0,32.0,-9.0,0.25
9,2022-02-15,22100870,1610612749,1610612754,2021,128.0,0.558,0.733,0.345,28.0,47.0,119.0,0.505,0.421,0.415,32.0,41.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,36.0,21.0,0.81,2.0,3.0,0.667,14.0,18.0,0.778,4.0,10.0,14.0,4.0,0.0,0.0,3.0,50.0,7.0,0.30000000000000004
14,2022-02-01,22100768,1610612749,1610612764,2021,112.0,0.5,0.889,0.316,26.0,44.0,98.0,0.439,0.7,0.343,22.0,40.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,38.0,21.0,0.667,0.0,3.0,0.0,5.0,5.0,1.0,2.0,13.0,15.0,11.0,0.0,2.0,2.0,33.0,14.0,0.35000000000000003
15,2022-01-30,22100756,1610612749,1610612743,2021,100.0,0.474,0.727,0.333,23.0,32.0,136.0,0.602,0.7,0.535,39.0,41.0,0,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,30.0,19.0,0.474,1.0,5.0,0.2,10.0,15.0,0.667,2.0,7.0,9.0,2.0,1.0,1.0,1.0,29.0,-15.0,0.4
16,2022-01-28,22100744,1610612749,1610612752,2021,123.0,0.461,0.871,0.326,27.0,47.0,108.0,0.464,0.571,0.35,21.0,45.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,34.0,19.0,0.632,2.0,6.0,0.333,12.0,16.0,0.75,3.0,10.0,13.0,5.0,1.0,0.0,4.0,38.0,19.0,0.45
18,2022-01-21,22100690,1610612749,1610612741,2021,94.0,0.386,0.714,0.194,20.0,53.0,90.0,0.365,0.875,0.184,21.0,49.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,36.0,23.0,0.478,0.0,3.0,0.0,8.0,12.0,0.667,1.0,11.0,12.0,3.0,1.0,2.0,3.0,30.0,1.0,0.5
19,2022-01-19,22100674,1610612749,1610612763,2021,126.0,0.474,0.955,0.351,29.0,56.0,114.0,0.415,0.68,0.225,26.0,47.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,31.0,25.0,0.48,2.0,4.0,0.5,7.0,8.0,0.875,3.0,12.0,15.0,7.0,2.0,1.0,5.0,33.0,10.0,0.55
21,2022-01-15,22100641,1610612749,1610612761,2021,96.0,0.338,0.914,0.308,19.0,41.0,103.0,0.44,0.55,0.343,25.0,50.0,0,1610612749,Milwaukee,203507,Giannis Antetokounmpo,G,35.0,17.0,0.353,1.0,3.0,0.333,17.0,17.0,1.0,0.0,6.0,6.0,4.0,0.0,2.0,4.0,30.0,-9.0,0.6000000000000001
22,2022-01-13,22100627,1610612749,1610612744,2021,118.0,0.512,0.667,0.439,29.0,54.0,99.0,0.347,0.708,0.333,20.0,49.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,G,30.0,17.0,0.647,0.0,2.0,0.0,8.0,12.0,0.667,2.0,10.0,12.0,11.0,0.0,3.0,5.0,30.0,22.0,0.65
26,2022-01-03,22100556,1610612749,1610612765,2021,106.0,0.424,0.773,0.239,21.0,47.0,115.0,0.484,0.643,0.419,31.0,47.0,0,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,35.0,21.0,0.524,0.0,4.0,0.0,9.0,13.0,0.692,1.0,9.0,10.0,7.0,1.0,0.0,3.0,31.0,-12.0,0.7000000000000001
27,2022-01-01,22100539,1610612749,1610612740,2021,136.0,0.533,0.833,0.479,27.0,48.0,113.0,0.411,0.633,0.314,28.0,50.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,32.0,18.0,0.667,2.0,4.0,0.5,9.0,12.0,0.75,1.0,15.0,16.0,10.0,2.0,0.0,4.0,35.0,25.0,0.75
30,2021-12-25,22100489,1610612749,1610612738,2021,117.0,0.473,0.704,0.364,24.0,48.0,113.0,0.427,0.833,0.378,24.0,44.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,29.0,23.0,0.565,0.0,2.0,0.0,10.0,15.0,0.667,3.0,9.0,12.0,5.0,0.0,2.0,2.0,36.0,-1.0,0.8
35,2021-12-06,22100358,1610612749,1610612739,2021,112.0,0.465,0.792,0.406,21.0,53.0,104.0,0.389,0.95,0.326,27.0,39.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,27.0,19.0,0.474,3.0,3.0,1.0,6.0,7.0,0.857,3.0,9.0,12.0,2.0,0.0,1.0,4.0,27.0,14.0,0.8500000000000001
36,2021-12-01,22100324,1610612749,1610612766,2021,127.0,0.489,0.808,0.389,29.0,45.0,125.0,0.494,0.857,0.412,30.0,36.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,37.0,24.0,0.625,1.0,4.0,0.25,9.0,13.0,0.692,3.0,9.0,12.0,9.0,1.0,0.0,6.0,40.0,4.0,0.9
39,2021-11-24,22100273,1610612749,1610612765,2021,114.0,0.483,0.882,0.417,23.0,56.0,93.0,0.358,0.737,0.244,16.0,44.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,31.0,17.0,0.706,1.0,4.0,0.25,8.0,10.0,0.8,2.0,5.0,7.0,5.0,2.0,2.0,1.0,33.0,25.0,0.9500000000000001
40,2021-11-22,22100258,1610612749,1610612753,2021,123.0,0.468,0.708,0.4,28.0,55.0,92.0,0.366,0.722,0.268,16.0,47.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,23.0,12.0,0.333,0.0,4.0,0.0,4.0,6.0,0.667,2.0,6.0,8.0,9.0,1.0,2.0,1.0,12.0,38.0,1.0
41,2021-11-20,22100244,1610612749,1610612753,2021,117.0,0.451,0.649,0.475,25.0,60.0,108.0,0.398,0.786,0.373,26.0,39.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,30.0,16.0,0.5,1.0,3.0,0.333,15.0,23.0,0.652,2.0,18.0,20.0,5.0,2.0,3.0,5.0,32.0,15.0,1.05
42,2021-11-19,22100234,1610612749,1610612760,2021,96.0,0.373,0.846,0.293,21.0,53.0,89.0,0.352,0.619,0.25,17.0,53.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,35.0,16.0,0.375,0.0,4.0,0.0,9.0,11.0,0.818,0.0,19.0,19.0,7.0,2.0,4.0,5.0,21.0,23.0,1.1
43,2021-11-17,22100219,1610612749,1610612747,2021,109.0,0.46,0.708,0.324,22.0,52.0,102.0,0.417,0.833,0.279,24.0,48.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,36.0,23.0,0.783,3.0,4.0,0.75,8.0,11.0,0.727,2.0,7.0,9.0,3.0,1.0,1.0,4.0,47.0,1.0,1.1500000000000001
48,2021-11-05,22100128,1610612749,1610612752,2021,98.0,0.402,0.762,0.372,19.0,37.0,113.0,0.427,0.808,0.25,16.0,59.0,0,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,30.0,17.0,0.412,2.0,7.0,0.286,9.0,11.0,0.818,1.0,6.0,7.0,4.0,2.0,0.0,3.0,25.0,-5.0,1.2000000000000002
50,2021-10-31,22100091,1610612749,1610612762,2021,95.0,0.406,0.833,0.293,16.0,44.0,107.0,0.467,0.926,0.324,13.0,44.0,0,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,35.0,20.0,0.5,3.0,11.0,0.273,2.0,2.0,1.0,2.0,5.0,7.0,6.0,2.0,2.0,2.0,25.0,-10.0,1.25
51,2021-10-30,22100085,1610612749,1610612759,2021,93.0,0.404,0.688,0.256,20.0,52.0,102.0,0.411,0.708,0.226,28.0,49.0,0,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,34.0,18.0,0.611,0.0,3.0,0.0,6.0,11.0,0.545,0.0,13.0,13.0,3.0,0.0,0.0,7.0,28.0,-3.0,1.3
52,2021-10-27,22100060,1610612749,1610612750,2021,108.0,0.411,0.762,0.275,22.0,43.0,113.0,0.473,0.824,0.289,29.0,49.0,0,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,35.0,23.0,0.652,3.0,6.0,0.5,7.0,9.0,0.778,4.0,12.0,16.0,7.0,0.0,3.0,2.0,40.0,9.0,1.35
